Security Command Center compliance report
Snapshot date,"Friday, July 17, 2026"
Assessed resource,gringo-vpc
Assessed organization ID,873985808727

Assessed compliance standard,PCI DSS 4.0
Assessed cloud provider,Google Cloud
Controls with detected violations,26
Controls without detected violations,24
Supported controls,50
Total findings,169

Control,Finding category,Status,Rule,Severity,Findings,Resources scanned
"1.1.1",DEFAULT_NETWORK,Compliant,"Default network should not exist in a project",Medium,0,1
"1.1.1",DNSSEC_DISABLED,Compliant,"DNSSEC should be Enabled for Cloud DNS",Medium,0,1
"1.1.1",LEGACY_NETWORK,Compliant,"Legacy networks should not exist for a project",Medium,0,1
"1.1.1",RSASHA1_FOR_SIGNING,Compliant,"RSASHA1 should not be used for signing",Medium,0,1
"1.1.1",SQL_TRACE_FLAG_3625,Compliant,"The 3625 (trace flag) database flag for a Cloud SQL SQL Server instance should be set to on",Medium,0,33
"1.1.1",SQL_USER_OPTIONS_CONFIGURED,Compliant,"The user options database flag for a Cloud SQL SQL Server instance should not be configured",Medium,0,33
"1.1.1",SQL_USER_CONNECTIONS_CONFIGURED,Compliant,"The user connections database flag for a Cloud SQL for SQL Server instance should not be configured",Low,0,33
"1.2.1",OPEN_RDP_PORT,Compliant,"Firewall rules should not allow connections from all IP addresses on TCP or UDP port 3389",High,0,27
"1.2.1",OPEN_SSH_PORT,Compliant,"Firewall rules should not allow connections from all IP addresses on TCP or SCTP port 22",High,0,27
"1.2.1",DEFAULT_NETWORK,Compliant,"Default network should not exist in a project",Medium,0,1
"1.2.1",DNSSEC_DISABLED,Compliant,"DNSSEC should be Enabled for Cloud DNS",Medium,0,1
"1.2.1",IP_FORWARDING_ENABLED,Compliant,"IP forwarding should not Enabled on Instances",Medium,0,6
"1.2.1",LEGACY_NETWORK,Compliant,"Legacy networks should not exist for a project",Medium,0,1
"1.2.1",RSASHA1_FOR_SIGNING,Compliant,"RSASHA1 should not be used for signing",Medium,0,1
"1.2.1",SQL_TRACE_FLAG_3625,Compliant,"The 3625 (trace flag) database flag for a Cloud SQL SQL Server instance should be set to on",Medium,0,33
"1.2.1",SQL_USER_OPTIONS_CONFIGURED,Compliant,"The user options database flag for a Cloud SQL SQL Server instance should not be configured",Medium,0,33
"1.2.1",SQL_USER_CONNECTIONS_CONFIGURED,Compliant,"The user connections database flag for a Cloud SQL for SQL Server instance should not be configured",Low,0,33
"1.2.5",COMPUTE_SERIAL_PORTS_ENABLED,Compliant,"Interactive serial console support should be disabled",Medium,0,6
"1.2.5",SQL_EXTERNAL_SCRIPTS_ENABLED,Compliant,"The ""external scripts enabled"" database flag for a Cloud SQL Server instance should be set to off",Medium,0,33
"1.2.5",SQL_REMOTE_ACCESS_ENABLED,Compliant,"The remote access database flag for a Cloud SQL SQL Server instance should be set to off",Medium,0,33
"1.2.6",DEFAULT_NETWORK,Compliant,"Default network should not exist in a project",Medium,0,1
"1.2.6",DNSSEC_DISABLED,Compliant,"DNSSEC should be Enabled for Cloud DNS",Medium,0,1
"1.2.6",LEGACY_NETWORK,Compliant,"Legacy networks should not exist for a project",Medium,0,1
"1.2.6",RSASHA1_FOR_SIGNING,Compliant,"RSASHA1 should not be used for signing",Medium,0,1
"1.2.6",SQL_TRACE_FLAG_3625,Compliant,"The 3625 (trace flag) database flag for a Cloud SQL SQL Server instance should be set to on",Medium,0,33
"1.2.6",SQL_USER_OPTIONS_CONFIGURED,Compliant,"The user options database flag for a Cloud SQL SQL Server instance should not be configured",Medium,0,33
"1.2.6",SQL_USER_CONNECTIONS_CONFIGURED,Compliant,"The user connections database flag for a Cloud SQL for SQL Server instance should not be configured",Low,0,33
"1.2.7",DEFAULT_NETWORK,Compliant,"Default network should not exist in a project",Medium,0,1
"1.2.7",DNSSEC_DISABLED,Compliant,"DNSSEC should be Enabled for Cloud DNS",Medium,0,1
"1.2.7",LEGACY_NETWORK,Compliant,"Legacy networks should not exist for a project",Medium,0,1
"1.2.7",RSASHA1_FOR_SIGNING,Compliant,"RSASHA1 should not be used for signing",Medium,0,1
"1.2.7",SQL_TRACE_FLAG_3625,Compliant,"The 3625 (trace flag) database flag for a Cloud SQL SQL Server instance should be set to on",Medium,0,33
"1.2.7",SQL_USER_OPTIONS_CONFIGURED,Compliant,"The user options database flag for a Cloud SQL SQL Server instance should not be configured",Medium,0,33
"1.2.7",SQL_USER_CONNECTIONS_CONFIGURED,Compliant,"The user connections database flag for a Cloud SQL for SQL Server instance should not be configured",Low,0,33
"1.3.1",PUBLIC_BUCKET_ACL,Non-compliant,"Cloud Storage buckets should not be anonymously or publicly accessible",High,9,82
"1.3.1",SQL_PUBLIC_IP,Non-compliant,"Cloud SQL instances should not have public IP addresses",Medium,32,33
"1.3.1",BUCKET_POLICY_ONLY_DISABLED,Non-compliant,"Bucket Policy Only should be Enabled",Medium,5,82
"1.3.1",KMS_PROJECT_HAS_OWNER,Non-compliant,"Users should not have ""Owner"" permissions on a project that has cryptographic keys",Medium,1,1
"1.3.1",OVER_PRIVILEGED_SERVICE_ACCOUNT_USER,Non-compliant,"The iam.serviceAccountUser and iam.serviceAccountTokenCreator roles should not be assigned to a user at the project level",Medium,1,1
"1.3.1",LOCKED_RETENTION_POLICY_NOT_SET,Non-compliant,"A locked retention policy should be configured for Cloud Storage buckets",Low,6,82
"1.3.1",KMS_PUBLIC_KEY,Compliant,"Cloud KMS cryptokeys should not be publicly accessible by anyone on the internet",High,0,4
"1.3.1",PUBLIC_DATASET,Compliant,"Datasets should not be publicly accessible by anyone on the internet",High,0,33
"1.3.1",PUBLIC_IP_ADDRESS,Compliant,"VMs should not be assigned public IP addresses",High,0,6
"1.3.1",PUBLIC_SQL_INSTANCE,Compliant,"Cloud SQL database instances should not be publicly accessible by anyone on the internet",High,0,33
"1.3.1",ALLOYDB_PUBLIC_IP,Compliant,"An AlloyDB instance uses a public IP address. Private IP addresses are recommended for AlloyDB instances.",Medium,0,-
"1.3.1",KMS_ROLE_SEPARATION,Compliant,"Separation of duties should be enforced while assigning KMS related roles to users",Medium,0,1
"1.3.1",SERVICE_ACCOUNT_ROLE_SEPARATION,Compliant,"Separation of duties should be enforced while assigning service account related roles to users",Medium,0,1
"1.3.1",SQL_CONTAINED_DATABASE_AUTHENTICATION,Compliant,"The contained database authentication database flag for a Cloud SQL SQL Server instance should be set to off.",Medium,0,33
"1.3.1",SQL_CROSS_DB_OWNERSHIP_CHAINING,Compliant,"The cross db ownership chaining database flag for a Cloud SQL SQL Server instance should be set to off.",Medium,0,33
"1.3.1",SQL_SKIP_SHOW_DATABASE_DISABLED,Compliant,"The skip_show_database database flag for a Cloud SQL MySQL instance should be set to on.",Medium,0,33
"1.4.1",OPEN_RDP_PORT,Compliant,"Firewall rules should not allow connections from all IP addresses on TCP or UDP port 3389",High,0,27
"1.4.1",OPEN_SSH_PORT,Compliant,"Firewall rules should not allow connections from all IP addresses on TCP or SCTP port 22",High,0,27
"1.4.1",IP_FORWARDING_ENABLED,Compliant,"IP forwarding should not Enabled on Instances",Medium,0,6
"1.4.2",DEFAULT_NETWORK,Compliant,"Default network should not exist in a project",Medium,0,1
"1.4.2",DNSSEC_DISABLED,Compliant,"DNSSEC should be Enabled for Cloud DNS",Medium,0,1
"1.4.2",LEGACY_NETWORK,Compliant,"Legacy networks should not exist for a project",Medium,0,1
"1.4.2",RSASHA1_FOR_SIGNING,Compliant,"RSASHA1 should not be used for signing",Medium,0,1
"1.5.1",DEFAULT_NETWORK,Compliant,"Default network should not exist in a project",Medium,0,1
"1.5.1",DNSSEC_DISABLED,Compliant,"DNSSEC should be Enabled for Cloud DNS",Medium,0,1
"1.5.1",LEGACY_NETWORK,Compliant,"Legacy networks should not exist for a project",Medium,0,1
"1.5.1",RSASHA1_FOR_SIGNING,Compliant,"RSASHA1 should not be used for signing",Medium,0,1
"1.5.1",SQL_TRACE_FLAG_3625,Compliant,"The 3625 (trace flag) database flag for a Cloud SQL SQL Server instance should be set to on",Medium,0,33
"1.5.1",SQL_USER_OPTIONS_CONFIGURED,Compliant,"The user options database flag for a Cloud SQL SQL Server instance should not be configured",Medium,0,33
"1.5.1",SQL_USER_CONNECTIONS_CONFIGURED,Compliant,"The user connections database flag for a Cloud SQL for SQL Server instance should not be configured",Low,0,33
"2.1.1",DEFAULT_NETWORK,Compliant,"Default network should not exist in a project",Medium,0,1
"2.1.1",DNSSEC_DISABLED,Compliant,"DNSSEC should be Enabled for Cloud DNS",Medium,0,1
"2.1.1",LEGACY_NETWORK,Compliant,"Legacy networks should not exist for a project",Medium,0,1
"2.1.1",RSASHA1_FOR_SIGNING,Compliant,"RSASHA1 should not be used for signing",Medium,0,1
"2.1.1",SQL_TRACE_FLAG_3625,Compliant,"The 3625 (trace flag) database flag for a Cloud SQL SQL Server instance should be set to on",Medium,0,33
"2.1.1",SQL_USER_OPTIONS_CONFIGURED,Compliant,"The user options database flag for a Cloud SQL SQL Server instance should not be configured",Medium,0,33
"2.1.1",SQL_USER_CONNECTIONS_CONFIGURED,Compliant,"The user connections database flag for a Cloud SQL for SQL Server instance should not be configured",Low,0,33
"2.2.1",DEFAULT_NETWORK,Compliant,"Default network should not exist in a project",Medium,0,1
"2.2.1",DNSSEC_DISABLED,Compliant,"DNSSEC should be Enabled for Cloud DNS",Medium,0,1
"2.2.1",LEGACY_NETWORK,Compliant,"Legacy networks should not exist for a project",Medium,0,1
"2.2.1",RSASHA1_FOR_SIGNING,Compliant,"RSASHA1 should not be used for signing",Medium,0,1
"2.2.1",SQL_LOCAL_INFILE,Compliant,"The local_infile database flag for a Cloud SQL MySQL instance should be set to off.",Medium,0,33
"2.2.1",SQL_TRACE_FLAG_3625,Compliant,"The 3625 (trace flag) database flag for a Cloud SQL SQL Server instance should be set to on",Medium,0,33
"2.2.1",SQL_USER_OPTIONS_CONFIGURED,Compliant,"The user options database flag for a Cloud SQL SQL Server instance should not be configured",Medium,0,33
"2.2.1",SQL_USER_CONNECTIONS_CONFIGURED,Compliant,"The user connections database flag for a Cloud SQL for SQL Server instance should not be configured",Low,0,33
"2.2.2",API_KEY_APIS_UNRESTRICTED,Non-compliant,"Projects should restrict the APIs that can be called by each API key",Medium,1,1
"2.2.2",API_KEY_EXISTS,Non-compliant,"API Keys are insecure and should not be used",Medium,1,1
"2.2.2",API_KEY_NOT_ROTATED,Non-compliant,"API keys should be rotated every 90 days",Medium,1,1
"2.2.2",DEFAULT_SERVICE_ACCOUNT_USED,Compliant,"Instances should not be configured to use the default service account",Medium,0,6
"2.2.2",FULL_API_ACCESS,Compliant,"Instances should not be configured to use the default service account with full access to all Cloud APIs",Medium,0,6
"2.2.4",COMPUTE_SERIAL_PORTS_ENABLED,Compliant,"Interactive serial console support should be disabled",Medium,0,6
"2.2.4",SQL_EXTERNAL_SCRIPTS_ENABLED,Compliant,"The ""external scripts enabled"" database flag for a Cloud SQL Server instance should be set to off",Medium,0,33
"2.2.4",SQL_REMOTE_ACCESS_ENABLED,Compliant,"The remote access database flag for a Cloud SQL SQL Server instance should be set to off",Medium,0,33
"2.2.7",COMPUTE_PROJECT_WIDE_SSH_KEYS_ALLOWED,Non-compliant,"SSH keys should not be used project-wide",Medium,5,6
"2.3.1",DEFAULT_SERVICE_ACCOUNT_USED,Compliant,"Instances should not be configured to use the default service account",Medium,0,6
"2.3.1",FULL_API_ACCESS,Compliant,"Instances should not be configured to use the default service account with full access to all Cloud APIs",Medium,0,6
"3.1.1",ALLOYDB_CMEK_DISABLED,Compliant,"Encrypt your AlloyDB cluster by using a customer-managed encryption key (CMEK).",Medium,0,-
"3.1.1",BIGQUERY_TABLE_CMEK_DISABLED,Compliant,"BigQuery tables should have a customer-managed encryption key (CMEK) set",Medium,0,-
"3.1.1",CONFIDENTIAL_COMPUTING_DISABLED,Compliant,"Confidential Computing should be enabled",Medium,0,6
"3.1.1",DATAPROC_CMEK_DISABLED,Compliant,"Dataproc clusters should have a customer-managed encryption key (CMEK) set",Medium,0,-
"3.1.1",DATASET_CMEK_DISABLED,Compliant,"Datasets should have a default customer-managed encryption key (CMEK) set",Medium,0,-
"3.1.1",DISK_CSEK_DISABLED,Compliant,"Disks should be encrypted with customer-supplied encryption keys",Medium,0,12
"3.1.1",KMS_KEY_NOT_ROTATED,Compliant,"Encryption keys should be rotated within a period of 90 days",Medium,0,3
"3.3.2",ALLOYDB_CMEK_DISABLED,Compliant,"Encrypt your AlloyDB cluster by using a customer-managed encryption key (CMEK).",Medium,0,-
"3.3.2",BIGQUERY_TABLE_CMEK_DISABLED,Compliant,"BigQuery tables should have a customer-managed encryption key (CMEK) set",Medium,0,-
"3.3.2",CONFIDENTIAL_COMPUTING_DISABLED,Compliant,"Confidential Computing should be enabled",Medium,0,6
"3.3.2",DATAPROC_CMEK_DISABLED,Compliant,"Dataproc clusters should have a customer-managed encryption key (CMEK) set",Medium,0,-
"3.3.2",DATASET_CMEK_DISABLED,Compliant,"Datasets should have a default customer-managed encryption key (CMEK) set",Medium,0,-
"3.3.2",DISK_CSEK_DISABLED,Compliant,"Disks should be encrypted with customer-supplied encryption keys",Medium,0,12
"3.3.2",KMS_KEY_NOT_ROTATED,Compliant,"Encryption keys should be rotated within a period of 90 days",Medium,0,3
"3.3.3",ALLOYDB_CMEK_DISABLED,Compliant,"Encrypt your AlloyDB cluster by using a customer-managed encryption key (CMEK).",Medium,0,-
"3.3.3",BIGQUERY_TABLE_CMEK_DISABLED,Compliant,"BigQuery tables should have a customer-managed encryption key (CMEK) set",Medium,0,-
"3.3.3",CONFIDENTIAL_COMPUTING_DISABLED,Compliant,"Confidential Computing should be enabled",Medium,0,6
"3.3.3",DATAPROC_CMEK_DISABLED,Compliant,"Dataproc clusters should have a customer-managed encryption key (CMEK) set",Medium,0,-
"3.3.3",DATASET_CMEK_DISABLED,Compliant,"Datasets should have a default customer-managed encryption key (CMEK) set",Medium,0,-
"3.3.3",DISK_CSEK_DISABLED,Compliant,"Disks should be encrypted with customer-supplied encryption keys",Medium,0,12
"3.3.3",KMS_KEY_NOT_ROTATED,Compliant,"Encryption keys should be rotated within a period of 90 days",Medium,0,3
"3.5.1",ALLOYDB_CMEK_DISABLED,Compliant,"Encrypt your AlloyDB cluster by using a customer-managed encryption key (CMEK).",Medium,0,-
"3.5.1",BIGQUERY_TABLE_CMEK_DISABLED,Compliant,"BigQuery tables should have a customer-managed encryption key (CMEK) set",Medium,0,-
"3.5.1",CONFIDENTIAL_COMPUTING_DISABLED,Compliant,"Confidential Computing should be enabled",Medium,0,6
"3.5.1",DATAPROC_CMEK_DISABLED,Compliant,"Dataproc clusters should have a customer-managed encryption key (CMEK) set",Medium,0,-
"3.5.1",DATASET_CMEK_DISABLED,Compliant,"Datasets should have a default customer-managed encryption key (CMEK) set",Medium,0,-
"3.5.1",DISK_CSEK_DISABLED,Compliant,"Disks should be encrypted with customer-supplied encryption keys",Medium,0,12
"3.5.1",KMS_KEY_NOT_ROTATED,Compliant,"Encryption keys should be rotated within a period of 90 days",Medium,0,3
"3.5.1.2",ALLOYDB_CMEK_DISABLED,Compliant,"Encrypt your AlloyDB cluster by using a customer-managed encryption key (CMEK).",Medium,0,-
"3.5.1.2",BIGQUERY_TABLE_CMEK_DISABLED,Compliant,"BigQuery tables should have a customer-managed encryption key (CMEK) set",Medium,0,-
"3.5.1.2",CONFIDENTIAL_COMPUTING_DISABLED,Compliant,"Confidential Computing should be enabled",Medium,0,6
"3.5.1.2",DATAPROC_CMEK_DISABLED,Compliant,"Dataproc clusters should have a customer-managed encryption key (CMEK) set",Medium,0,-
"3.5.1.2",DATASET_CMEK_DISABLED,Compliant,"Datasets should have a default customer-managed encryption key (CMEK) set",Medium,0,-
"3.5.1.2",DISK_CSEK_DISABLED,Compliant,"Disks should be encrypted with customer-supplied encryption keys",Medium,0,12
"3.5.1.2",KMS_KEY_NOT_ROTATED,Compliant,"Encryption keys should be rotated within a period of 90 days",Medium,0,3
"3.5.1.3",ALLOYDB_CMEK_DISABLED,Compliant,"Encrypt your AlloyDB cluster by using a customer-managed encryption key (CMEK).",Medium,0,-
"3.5.1.3",BIGQUERY_TABLE_CMEK_DISABLED,Compliant,"BigQuery tables should have a customer-managed encryption key (CMEK) set",Medium,0,-
"3.5.1.3",CONFIDENTIAL_COMPUTING_DISABLED,Compliant,"Confidential Computing should be enabled",Medium,0,6
"3.5.1.3",DATAPROC_CMEK_DISABLED,Compliant,"Dataproc clusters should have a customer-managed encryption key (CMEK) set",Medium,0,-
"3.5.1.3",DATASET_CMEK_DISABLED,Compliant,"Datasets should have a default customer-managed encryption key (CMEK) set",Medium,0,-
"3.5.1.3",DISK_CSEK_DISABLED,Compliant,"Disks should be encrypted with customer-supplied encryption keys",Medium,0,12
